DateTime,Website Name,URL,Status,Ping (ms),HTTP Time (ms),DNS Time (ms),Content Size (KB),Redirects,Keyword Check,SSL Days Left,SSL Expiry Date,Domain Days Left,Domain Expiry Date,Notes
2025-10-03T09:59:24.343065+00:00,OFS Disposition List (HRD),https://odishaforest.in/hrd/ofs-disposition-list-sb,Up,N/A,1047.35,2.85,219.24,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:59:27.189423+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,265.49,1172.98,3.62,31.02,0,Pass,57,2025-11-30T00:03:57+00:00,338,2026-09-07T08:34:32.369000+00:00,
2025-10-03T09:58:59.858166+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,602.3,5.37,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
2025-10-03T09:59:04.264829+00:00,SMPB Odisha,https://smpbodisha.in/,Up,158.81,1223.27,35.54,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
2025-10-03T09:59:07.960805+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed,515.34,3.54,55.88,0,Pass,61,2025-12-04T04:57:50+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:11.489756+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed,423.16,3.04,48.95,0,Pass,46,2025-11-18T11:19:02+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:15.121277+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,157.81,1380.95,45.88,105.88,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:59:18.538795+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,N/A,1644.38,2.93,62.32,0,Pass,64,2025-12-06T17:57:23+00:00,67,2025-12-10T08:22:51.100000+00:00,
2025-10-03T09:59:23.623523+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,41.4,438.1,4.47,61.7,0,Pass,38,2025-11-11T00:10:00+00:00,169,2026-03-21T11:20:19+00:00,
2025-10-03T09:59:25.573775+00:00,OFS Disposition List (HRD),https://odishaforest.in/hrd/ofs-disposition-list-sb,Up,N/A,1207.76,3.03,219.24,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:59:29.043257+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,87.59,1213.48,3.95,31.02,0,Pass,57,2025-11-30T00:03:57+00:00,338,2026-09-07T08:34:32.369000+00:00,
2025-10-03T09:59:20.953564+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,538.65,5.79,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
2025-10-03T09:59:25.161607+00:00,SMPB Odisha,https://smpbodisha.in/,Up,239.88,1536.92,86.21,63.49,0,Pass,82,2025-12-25T02:57:27+00:00,304,2026-08-04T04:59:15.992000+00:00,
2025-10-03T09:59:28.940385+00:00,CAMPA Odisha,https://campa.odisha.gov.in/,Up,Failed,516.06,3.11,55.88,0,Pass,61,2025-12-04T04:57:50+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:32.842510+00:00,Kendu Leaves Portal,https://kenduleaves.odisha.gov.in/,Up,Failed,467.18,3.89,48.95,0,Pass,46,2025-11-18T11:19:02+00:00,66,2025-12-09T05:23:30.769000+00:00,
2025-10-03T09:59:36.366786+00:00,Odisha Forest Main Portal,https://odishaforest.in/,Up,167.57,2651.39,37.1,105.88,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:59:40.867042+00:00,Wildlife Anukampa,https://www.odwlanukampa.in/index.php/home/applications,Up,N/A,1395.14,3.01,62.32,0,Pass,64,2025-12-06T17:57:23+00:00,67,2025-12-10T08:22:51.100000+00:00,
2025-10-03T09:59:44.467200+00:00,Odisha Bamboo,https://www.odishabamboo.org/,Up,38.94,516.89,5.99,61.7,0,Pass,38,2025-11-11T00:10:00+00:00,169,2026-03-21T11:20:19+00:00,
2025-10-03T09:59:46.622079+00:00,OFS Disposition List (HRD),https://odishaforest.in/hrd/ofs-disposition-list-sb,Up,N/A,1371.85,3.71,219.24,0,Pass,47,2025-11-19T22:20:58+00:00,340,2026-09-08T10:11:59.302000+00:00,
2025-10-03T09:59:49.728153+00:00,TT Permit Odisha,https://www.ttpermitodisha.in/,Up,307.49,2253.61,3.89,31.02,0,Pass,57,2025-11-30T00:03:57+00:00,338,2026-09-07T08:34:32.369000+00:00,
2025-10-03T09:59:22.152699+00:00,Forest GIS (OFMS),https://odishaforestgis.in/ofms/,Up,Failed,424.29,6.67,5.59,0,Pass,86,2025-12-29T04:05:01+00:00,260,2026-06-21T07:31:59.451000+00:00,
